Rank,Company,Category,LinkedIn,Careers
1,Stripe,Payments / Fintech Infrastructure,https://www.linkedin.com/company/stripe/,https://stripe.com/careers/
2,Adyen,Global Payments,https://www.linkedin.com/company/adyen/,https://careers.adyen.com/
3,PayPal,Payments,https://www.linkedin.com/company/paypal/,https://careers.pypl.com/
4,Razorpay,Payments,https://www.linkedin.com/company/razorpay/,https://razorpay.com/careers/
5,PhonePe,Payments / Fintech,https://www.linkedin.com/company/phonepe-internet/,https://www.phonepe.com/careers/
6,CRED,Credit / Fintech,https://www.linkedin.com/company/credapp/,https://www.cred.club/careers/
7,Cashfree Payments,Payments / API Banking,https://www.linkedin.com/company/cashfree/,https://www.cashfree.com/careers/
8,Juspay,Payments Infrastructure,https://www.linkedin.com/company/juspay/,https://juspay.io/careers
9,Pine Labs,Payments / Commerce,https://www.linkedin.com/company/pinelabs/,https://www.pinelabs.com/careers/open-jobs
10,Paytm,Payments / Financial Services,https://www.linkedin.com/company/paytm/,https://paytm.com/careers/
11,BharatPe,Payments / Lending,https://www.linkedin.com/company/bharatpe/,https://www.linkedin.com/company/bharatpe/jobs/
12,Groww,Wealthtech / Investing,https://www.linkedin.com/company/groww.in/,https://groww.in/careers
13,Zerodha,Broking / Investing,https://www.linkedin.com/company/zerodha/,https://zerodha.com/careers/
14,Upstox,Broking / Investing,https://www.linkedin.com/company/upstox/,https://upstox.com/careers/
15,MobiKwik,Payments / Credit,https://www.linkedin.com/company/mobikwik/,https://www.mobikwik.com/careers
16,Jupiter,Neobank / Fintech,https://www.linkedin.com/company/jupiter-money/,https://jupiter.money/careers/
17,Fi,Digital Banking,https://www.linkedin.com/company/fi-money/,https://fi.money/careers
18,Slice,Credit / Payments,https://www.linkedin.com/company/slice/,https://sliceit.com/careers/
19,Open Financial Technologies,Business Banking,https://www.linkedin.com/company/bankwithopen/,https://open.money/careers/
20,Zeta,Banking Technology,https://www.linkedin.com/company/zeta-tech/,https://www.zeta.tech/careers/
21,Yubi,Lending Infrastructure,https://www.linkedin.com/company/go-yubi/,https://www.go-yubi.com/careers/
22,Perfios,Fintech SaaS / Lending,https://www.linkedin.com/company/perfios/,https://perfios.com/careers/
23,HighRadius,Fintech SaaS / Payments,https://www.linkedin.com/company/highradius/,https://www.highradius.com/careers/
24,Chargebee,Billing / Payments,https://www.linkedin.com/company/chargebee/,https://www.chargebee.com/careers/
25,Policybazaar,Insurtech,https://www.linkedin.com/company/policybazaar/,https://www.policybazaar.com/careers/
26,ACKO,Insurtech,https://www.linkedin.com/company/acko/,https://www.acko.com/careers/
27,Digit Insurance,Insurtech,https://www.linkedin.com/company/go-digit-general-insurance/,https://www.godigit.com/careers
28,KreditBee,Digital Lending,https://www.linkedin.com/company/kreditbee/,https://www.kreditbee.in/careers/
29,Moneyview,Lending / Personal Finance,https://www.linkedin.com/company/money-view/,https://moneyview.in/careers/
30,Lendingkart,Digital Lending,https://www.linkedin.com/company/lendingkart/,https://www.lendingkart.com/careers/
31,CoinDCX,Crypto / Financial Services,https://www.linkedin.com/company/coindcx/,https://careers.coindcx.com/
32,PayU,Payments / Fintech,https://www.linkedin.com/company/payu/,https://payu.in/careers/
33,BillDesk,Payments,https://www.linkedin.com/company/billdesk/,https://www.billdesk.com/careers/
34,Easebuzz,Payments,https://www.linkedin.com/company/easebuzz/,https://easebuzz.in/careers/
35,Fino Payments Bank,Digital Banking,https://www.linkedin.com/company/fino-payments-bank/,https://www.fino.bank/careers/
36,FPL Technologies / OneCard,Credit / Cards,https://www.linkedin.com/company/fpl-technologies/,https://www.fplabs.tech/careers/
37,InCred,Lending / Wealth,https://www.linkedin.com/company/incred/,https://www.incred.com/careers/
38,Fibe,Digital Lending,https://www.linkedin.com/company/fibe/,https://www.fibe.in/careers/
39,MoneyTap,Consumer Finance,https://www.linkedin.com/company/moneytap/,https://www.moneytap.com/careers/
40,Navi,Lending / Insurance / Investing,https://www.linkedin.com/company/navi-tech/,https://www.navi.com/careers/
41,Niyo,Neobanking,https://www.linkedin.com/company/niyo-solutions/,https://www.goniyo.com/careers/
42,Zolve,Global Banking,https://www.linkedin.com/company/zolve/,https://zolve.com/careers/
43,Setu,Fintech APIs,https://www.linkedin.com/company/setu-apis/,https://setu.co/careers
44,Karza Technologies,Financial Data / KYC,https://www.linkedin.com/company/karza-technologies/,https://karza.in/careers/
45,Signzy,Regtech / KYC,https://www.linkedin.com/company/signzy/,https://www.signzy.com/careers/
46,Decentro,Fintech APIs,https://www.linkedin.com/company/decentro/,https://decentro.tech/careers/
47,HyperVerge,KYC / Identity,https://www.linkedin.com/company/hyperverge/,https://hyperverge.co/careers/
48,M2P Fintech,Card / Payments Infrastructure,https://www.linkedin.com/company/m2p-fintech/,https://m2pfintech.com/careers/
49,TransBnk,Banking Infrastructure,https://www.linkedin.com/company/transbnk/,https://transbnk.com/careers/
50,Zaggle,Corporate Fintech,https://www.linkedin.com/company/zaggle/,https://www.zaggle.in/careers/
51,Payoneer,Global Payments,https://www.linkedin.com/company/payoneer/,https://www.payoneer.com/careers/
52,Wise,Payments / Remittance,https://www.linkedin.com/company/transferwise/,https://wise.jobs/
53,Revolut,Digital Banking,https://www.linkedin.com/company/revolut/,https://www.revolut.com/careers/
54,Checkout.com,Payments,https://www.linkedin.com/company/checkout-com/,https://www.checkout.com/careers
55,Airwallex,Payments / Banking,https://www.linkedin.com/company/airwallex/,https://www.airwallex.com/careers
56,Rapyd,Payments Infrastructure,https://www.linkedin.com/company/rapyd/,https://www.rapyd.net/careers/
57,Mollie,Payments,https://www.linkedin.com/company/mollie/,https://www.mollie.com/careers
58,dLocal,Cross-border Payments,https://www.linkedin.com/company/dlocal/,https://www.dlocal.com/careers/
59,Nuvei,Payments,https://www.linkedin.com/company/nuvei/,https://www.nuvei.com/careers/
60,Worldpay,Payments,https://www.linkedin.com/company/worldpay/,https://www.worldpay.com/careers/
61,Block,Payments / Fintech,https://www.linkedin.com/company/block/,https://block.xyz/careers
62,Marqeta,Card Issuing,https://www.linkedin.com/company/marqeta/,https://www.marqeta.com/company/careers
63,Plaid,Financial APIs,https://www.linkedin.com/company/plaid-/,https://plaid.com/careers/
64,Tink,Open Banking,https://www.linkedin.com/company/tink-ab/,https://tink.com/careers/
65,TrueLayer,Open Banking,https://www.linkedin.com/company/truelayer/,https://truelayer.com/careers/
66,Sumsub,KYC / AML,https://www.linkedin.com/company/sumsub/,https://sumsub.com/careers/
