No,Company,Sector,LinkedIn_URL,Official_Careers_URL
1,Microsoft,Big Tech,https://www.linkedin.com/company/microsoft/,https://careers.microsoft.com/
2,Google,Big Tech,https://www.linkedin.com/company/google/,https://www.google.com/about/careers/
3,Amazon,Big Tech,https://www.linkedin.com/company/amazon/,https://www.amazon.jobs/
4,Apple,Big Tech,https://www.linkedin.com/company/apple/,https://www.apple.com/careers/
5,Meta,Big Tech,https://www.linkedin.com/company/meta/,https://www.metacareers.com/
6,Netflix,Big Tech / Media,https://www.linkedin.com/company/netflix/,https://jobs.netflix.com/
7,NVIDIA,Semiconductors / AI,https://www.linkedin.com/company/nvidia/,https://www.nvidia.com/en-us/about-nvidia/careers/
8,Adobe,Software,https://www.linkedin.com/company/adobe/,https://www.adobe.com/careers.html
9,Oracle,Enterprise Software,https://www.linkedin.com/company/oracle/,https://www.oracle.com/careers/
10,IBM,Enterprise Technology,https://www.linkedin.com/company/ibm/,https://www.ibm.com/careers/
11,Salesforce,Enterprise SaaS,https://www.linkedin.com/company/salesforce/,https://www.salesforce.com/company/careers/
12,SAP,Enterprise Software,https://www.linkedin.com/company/sap/,https://www.sap.com/about/careers.html
13,ServiceNow,Enterprise SaaS,https://www.linkedin.com/company/servicenow/,https://www.servicenow.com/careers.html
14,Atlassian,Enterprise SaaS,https://www.linkedin.com/company/atlassian/,https://www.atlassian.com/company/careers
15,Workday,Enterprise SaaS,https://www.linkedin.com/company/workday/,https://www.workday.com/en-us/company/careers.html
16,Intuit,Financial Software,https://www.linkedin.com/company/intuit/,https://www.intuit.com/careers/
17,Broadcom,Semiconductors / Infrastructure,https://www.linkedin.com/company/broadcom/,https://www.broadcom.com/company/careers
18,Cisco,Networking / Cloud,https://www.linkedin.com/company/cisco/,https://jobs.cisco.com/
19,Snowflake,Cloud / Data,https://www.linkedin.com/company/snowflake-computing/,https://careers.snowflake.com/
20,Datadog,Cloud / Observability,https://www.linkedin.com/company/datadog/,https://careers.datadoghq.com/
21,Stripe,Fintech,https://www.linkedin.com/company/stripe/,https://stripe.com/jobs
22,PayPal,Fintech,https://www.linkedin.com/company/paypal/,https://careers.pypl.com/
23,Razorpay,Fintech,https://www.linkedin.com/company/razorpay/,https://razorpay.com/careers/
24,PhonePe,Fintech,https://www.linkedin.com/company/phonepe-internet/,https://www.phonepe.com/careers/
25,Cashfree Payments,Fintech,https://www.linkedin.com/company/cashfree/,https://www.cashfree.com/careers/
26,Juspay,Fintech,https://www.linkedin.com/company/juspay/,https://juspay.io/careers
27,CRED,Fintech,https://www.linkedin.com/company/credapp/,https://careers.cred.club/
28,Pine Labs,Fintech,https://www.linkedin.com/company/pinelabs/,https://www.pinelabs.com/careers/open-jobs
29,Paytm,Fintech,https://www.linkedin.com/company/paytm/,https://paytm.com/careers/
30,BharatPe,Fintech,https://www.linkedin.com/company/bharatpe/,https://www.linkedin.com/company/bharatpe/jobs/
31,Groww,Fintech,https://www.linkedin.com/company/groww.in/,https://groww.in/careers
32,Zerodha,Fintech,https://www.linkedin.com/company/zerodha/,https://zerodha.com/careers/
33,Upstox,Fintech,https://www.linkedin.com/company/upstox/,https://upstox.com/careers/
34,Adyen,Fintech,https://www.linkedin.com/company/adyen/,https://careers.adyen.com/
35,Checkout.com,Fintech,https://www.linkedin.com/company/checkout-com/,https://www.checkout.com/careers
36,Flipkart,E-commerce,https://www.linkedin.com/company/flipkart/,https://www.flipkartcareers.com/
37,Walmart Global Tech,E-commerce / Technology,https://www.linkedin.com/company/walmart-global-tech/,https://tech.walmart.com/content/walmart-global-tech/us/en_us/careers.html
38,eBay,E-commerce,https://www.linkedin.com/company/ebay/,https://jobs.ebayinc.com/
39,Meesho,E-commerce,https://www.linkedin.com/company/meesho/,https://www.meesho.io/jobs
40,Myntra,E-commerce,https://www.linkedin.com/company/myntra/,https://careers.myntra.com/
41,Swiggy,Consumer Tech,https://www.linkedin.com/company/swiggy/,https://careers.swiggy.com/
42,Zomato,Consumer Tech,https://www.linkedin.com/company/zomato/,https://www.zomato.com/careers
43,Zepto,Consumer Tech,https://www.linkedin.com/company/zeptonow/,https://www.zepto.com/careers
44,Blinkit,Consumer Tech,https://www.linkedin.com/company/blinkit/,https://blinkit.com/careers
45,Nykaa,E-commerce,https://www.linkedin.com/company/nykaa/,https://www.nykaa.com/careers
46,Cloudflare,Cloud / Cybersecurity,https://www.linkedin.com/company/cloudflare/,https://www.cloudflare.com/careers/jobs/
47,Zscaler,Cybersecurity,https://www.linkedin.com/company/zscaler/,https://www.zscaler.com/careers
48,Palo Alto Networks,Cybersecurity,https://www.linkedin.com/company/palo-alto-networks/,https://jobs.paloaltonetworks.com/
49,CrowdStrike,Cybersecurity,https://www.linkedin.com/company/crowdstrike/,https://www.crowdstrike.com/careers/
50,Okta,Cybersecurity,https://www.linkedin.com/company/okta-inc-/,https://www.okta.com/company/careers/
51,Fortinet,Cybersecurity,https://www.linkedin.com/company/fortinet/,https://www.fortinet.com/corporate/careers
52,Akamai,Cloud / Networking,https://www.linkedin.com/company/akamai-technologies/,https://www.akamai.com/careers
53,HashiCorp,Cloud / DevOps,https://www.linkedin.com/company/hashicorp/,https://www.hashicorp.com/careers
54,MongoDB,Database / Cloud,https://www.linkedin.com/company/mongodb/,https://www.mongodb.com/careers
55,Elastic,Search / Cloud,https://www.linkedin.com/company/elastic-co/,https://www.elastic.co/about/careers
56,Freshworks,SaaS,https://www.linkedin.com/company/freshworks-inc/,https://www.freshworks.com/company/careers/
57,Zoho,SaaS,https://www.linkedin.com/company/zoho/,https://www.zoho.com/careers/
58,Chargebee,SaaS / Billing,https://www.linkedin.com/company/chargebee/,https://www.chargebee.com/careers/
59,Postman,Developer Tools,https://www.linkedin.com/company/postman-platform/,https://www.postman.com/company/careers/
60,BrowserStack,Developer Tools,https://www.linkedin.com/company/browserstack/,https://www.browserstack.com/careers
61,Darwinbox,HR SaaS,https://www.linkedin.com/company/darwinbox/,https://darwinbox.com/careers
62,Druva,Cloud / Data Protection,https://www.linkedin.com/company/druva/,https://www.druva.com/company/careers
63,Thoughtworks,Software Engineering,https://www.linkedin.com/company/thoughtworks/,https://www.thoughtworks.com/careers
64,Miro,Collaboration SaaS,https://www.linkedin.com/company/miro/,https://miro.com/careers/
65,HubSpot,SaaS,https://www.linkedin.com/company/hubspot/,https://www.hubspot.com/careers
66,GitLab,Developer Tools,https://www.linkedin.com/company/gitlab-com/,https://about.gitlab.com/jobs/
67,GitHub,Developer Tools,https://www.linkedin.com/company/github/,https://www.github.careers/
68,Tata 1mg,Healthtech,https://www.linkedin.com/company/tata-1mg/,https://www.1mg.com/careers
69,Practo,Healthtech,https://www.linkedin.com/company/practo-technologies/,https://www.practo.com/company/careers
70,PharmEasy,Healthtech,https://www.linkedin.com/company/pharmeasy/,https://pharmeasy.in/careers
71,Innovaccer,Healthtech,https://www.linkedin.com/company/innovaccer/,https://innovaccer.com/careers
72,CitiusTech,Healthtech,https://www.linkedin.com/company/citiustech/,https://www.citiustech.com/careers/
73,MediBuddy,Healthtech,https://www.linkedin.com/company/medibuddy/,https://www.medibuddy.in/careers
74,Apollo 24|7,Healthtech,https://www.linkedin.com/company/apollo-247/,https://www.apollo247.com/careers
75,Roche,Healthcare Technology,https://www.linkedin.com/company/roche/,https://careers.roche.com/
76,Siemens Healthineers,Healthcare Technology,https://www.linkedin.com/company/siemens-healthineers/,https://www.siemens-healthineers.com/careers
77,Philips,Healthcare Technology,https://www.linkedin.com/company/philips/,https://www.careers.philips.com/
78,Uber,Mobility,https://www.linkedin.com/company/uber-com/,https://www.uber.com/us/en/careers/
79,Ola,Mobility,https://www.linkedin.com/company/olacabs/,https://www.olacabs.com/careers
80,Rapido,Mobility,https://www.linkedin.com/company/rapido-bike/,https://www.rapido.bike/careers
81,MakeMyTrip,Travel Tech,https://www.linkedin.com/company/makemytrip.com/,https://www.makemytrip.com/careers/
82,Expedia Group,Travel Tech,https://www.linkedin.com/company/expedia-group/,https://careers.expediagroup.com/
83,Airbnb,Travel Tech,https://www.linkedin.com/company/airbnb/,https://careers.airbnb.com/
